source_id	bib_key	local_path	status	manuscript_role	notes
1992_pries_blood_viscosity_tube_flow	PriesEtAl1992BloodViscosityTubeFlow	references/01_report_foundations/1992_pries_blood_viscosity_tube_flow.pdf	current-cited	continuum and rheology foundations	cited in continuum and 1D model-hierarchy prose
2008_galdi_hemodynamical_flows	GaldiEtAl2008HemodynamicalFlows	references/01_report_foundations/2008_galdi_hemodynamical_flows.pdf	current-cited	Navier-Stokes and continuum foundations	cited in continuum, governing-equation, and model-hierarchy prose
2017_john_wall_shear_stress_vector_form	JohnEtAl2017WallShearStressVectorForm	references/01_report_foundations/2017_john_wall_shear_stress_vector_form.pdf	current-cited	wall-shear and indicator foundations	cited in pressure-flow, 3D model, and notation prose
2023_koppl_dimension_reduced_blood_flow	KopplHelmig2023DimensionReducedModeling	references/01_report_foundations/2023_koppl_dimension_reduced_blood_flow.pdf	current-cited	dimension-reduced hemodynamics foundations	cited in continuum, governing-equation, notation, and model-hierarchy prose
2026_clay_navier_stokes_equation	ClayMathematicsInstitute2022NavierStokesEquation	references/01_report_foundations/2026_clay_navier_stokes_equation.html	current-cited	Navier-Stokes context	cited for Millennium Prize context
1977_peskin_numerical_analysis_blood_flow_heart	Peskin1977NumericalAnalysisBloodFlowHeart	references/02_report_model_hierarchy/1977_peskin_numerical_analysis_blood_flow_heart.pdf	report-adjacent	resolved cardiac-flow background	uncited archive near 3D/resolved-flow context
1999_formaggia_multiscale_circulatory_system_preliminary_analysis		references/02_report_model_hierarchy/1999_formaggia_multiscale_circulatory_system_preliminary_analysis.pdf	report-adjacent	multiscale circulatory modeling	needs BibLaTeX entry before citation
2002_formaggia_quarteroni_cardiovascular_modeling	QuarteroniFormaggia2004CardiovascularModeling	references/02_report_model_hierarchy/2002_formaggia_quarteroni_cardiovascular_modeling.pdf	current-cited	cardiovascular model hierarchy	cited in governing-equation and 3D model prose
2003_formaggia_one_dimensional_blood_flow_arteries	FormaggiaEtAl2003OneDimensionalBloodFlow	references/02_report_model_hierarchy/2003_formaggia_one_dimensional_blood_flow_arteries.pdf	current-cited	1D arterial model foundations	cited in selected 1D reduction and model-hierarchy prose
2003_quarteroni_geometrical_multiscale_blood_flow	QuarteroniVeneziani2003GeometricalMultiscale	references/02_report_model_hierarchy/2003_quarteroni_geometrical_multiscale_blood_flow.pdf	current-cited	multiscale model hierarchy	cited in selected 1D reduction and multiscale model prose
2005_fernandez_geometrical_multiscale_blood_flow_model		references/02_report_model_hierarchy/2005_fernandez_geometrical_multiscale_blood_flow_model.pdf	report-adjacent	multiscale blood-flow modeling	needs BibLaTeX entry before citation
2007_formaggia_3d_1d_fsi_coupling_stability	FormaggiaEtAl2007FSICoupling	references/02_report_model_hierarchy/2007_formaggia_3d_1d_fsi_coupling_stability.pdf	current-cited	3D-1D FSI coupling	cited in selected 1D reduction, numerics context, and model hierarchy
2011_shi_zero_d_one_d_blood_flow_review	ShiEtAl2011BloodFlowModelReview	references/02_report_model_hierarchy/2011_shi_zero_d_one_d_blood_flow_review.pdf	current-cited	0D and 1D blood-flow review	cited in selected 1D reduction and 0D model prose
2018_courchaine_cardiac_development_cfd	CourchaineRugonyi2018CardiacDevelopmentCFD	references/02_report_model_hierarchy/2018_courchaine_cardiac_development_cfd.pdf	report-adjacent	cardiac CFD background	uncited archive near resolved-flow context
2019_duanmu_coronary_arterial_tree	DuanmuEtAl2019CoronaryArterialTree	references/02_report_model_hierarchy/2019_duanmu_coronary_arterial_tree.pdf	report-adjacent	coronary 1D modeling	uncited archive near 1D coronary model context
2024_canic_extended_1d_stenotic_artery_model	CanicEtAl2024Extended1DStenosis	references/02_report_model_hierarchy/2024_canic_extended_1d_stenotic_artery_model.pdf	current-cited	selected extended 1D stenosis model	cited in governing-equation and 1D model prose
2024_davey_cardiac_fluid_dynamics_human_heart	DaveyEtAl2024CardiacFluidDynamicsHeart	references/02_report_model_hierarchy/2024_davey_cardiac_fluid_dynamics_human_heart.pdf	report-adjacent	resolved cardiac-flow background	uncited archive near 3D/resolved-flow context
1996_pijls_ffr_functional_severity	PijlsEtAl1996FFRFunctionalSeverity	references/03_report_clinical_pressure_flow/1996_pijls_ffr_functional_severity.pdf	current-cited	FFR functional severity foundation	cited in pressure-flow and pressure-ratio notation prose
2010_tonino_fame_angio_functional_severity	ToninoEtAl2010FAMEAngioFunctional	references/03_report_clinical_pressure_flow/2010_tonino_fame_angio_functional_severity.pdf	current-cited	clinical anatomy-function distinction	cited in pressure-flow motivation
2011_kelle_coronary_distensibility_mri	KelleEtAl2011CoronaryDistensibility	references/03_report_clinical_pressure_flow/2011_kelle_coronary_distensibility_mri.pdf	report-adjacent	coronary wall compliance context	uncited archive near clinical pressure-flow context
2014_norgaard_nxt_ct_ffr	NorgaardEtAl2014NXTFFRCT	references/03_report_clinical_pressure_flow/2014_norgaard_nxt_ct_ffr.pdf	current-cited	CT-FFR clinical context	cited in pressure-flow motivation
2015_tebaldi_fractional_flow_reserve_overview	TebaldiEtAl2015FFROverview	references/03_report_clinical_pressure_flow/2015_tebaldi_fractional_flow_reserve_overview.html	report-adjacent	FFR overview	uncited archive near clinical pressure-flow context
2017_escaned_physiological_assessment_coronary_stenoses_microcirculation	EscanedDavies2017PhysiologicalAssessment	references/03_report_clinical_pressure_flow/2017_escaned_physiological_assessment_coronary_stenoses_microcirculation.pdf	current-cited	coronary stenosis physiology and pressure-ratio notation	cited in pressure-flow and notation prose
2018_blanco_ffr_1d_3d_comparison	Blanco2018FFR1D3D	references/03_report_clinical_pressure_flow/2018_blanco_ffr_1d_3d_comparison.pdf	report-adjacent	1D-3D FFR comparison background	uncited archive near pressure-flow future work
2021_derimay_coronary_stenosis_obstruction	DerimayEtAl2021CoronaryStenosisObstruction	references/03_report_clinical_pressure_flow/2021_derimay_coronary_stenosis_obstruction.pdf	current-cited	anatomical versus functional stenosis distinction	cited in pressure-flow motivation
2022_van_den_hoogen_coronary_lesion_cta	VanDenHoogenEtAl2022CoronaryLesionCTA	references/03_report_clinical_pressure_flow/2022_van_den_hoogen_coronary_lesion_cta.pdf	current-cited	coronary lesion and shear-output context	cited in pressure-flow motivation
2025_shaikh_ct_derived_ffr_methodologies	ShaikhEtAl2025CTFFR	references/03_report_clinical_pressure_flow/2025_shaikh_ct_derived_ffr_methodologies.pdf	current-cited	CT-FFR methodology context	cited in pressure-flow motivation
2026_who_cvd_fact_sheet	WHO2025CVDFactSheet	references/03_report_clinical_pressure_flow/2026_who_cvd_fact_sheet.html	report-adjacent	cardiovascular disease burden context	uncited archive near clinical motivation
2005_morton_mayers_numerical_pdes		references/04_report_numerics_verification/2005_morton_mayers_numerical_pdes.pdf	report-adjacent	numerical PDE background	needs BibLaTeX entry before citation
2014_wang_1d_blood_flow_networks_thesis	Wang2014BloodFlowNetworks	references/04_report_numerics_verification/2014_wang_1d_blood_flow_networks_thesis.pdf	report-adjacent	1D blood-flow numerical background	uncited archive near solver verification context
2015_boileau_1d_arterial_blood_flow_benchmark	BoileauEtAl2015Benchmark	references/04_report_numerics_verification/2015_boileau_1d_arterial_blood_flow_benchmark.pdf	current-cited	1D arterial benchmark schemes	cited in governing-equation numerical context
2024_benemerito_openbf_finite_volume_1d_solver	BenemeritoEtAl2024OpenBF	references/04_report_numerics_verification/2024_benemerito_openbf_finite_volume_1d_solver.pdf	report-adjacent	OpenBF-style 1D solver context	uncited archive near package benchmark and boundary handling context
2025_beckers_kolbe_lax_friedrichs_hemodynamics	BeckersKolbe2025LaxFriedrichsHemodynamics	references/04_report_numerics_verification/2025_beckers_kolbe_lax_friedrichs_hemodynamics.pdf	report-adjacent	1D hemodynamics numerical scheme context	uncited archive near solver verification context
2025_colebank_hemodynamics_parameter_identifiability_spectral_surrogates	Colebank2025HemodynamicsIdentifiability	references/04_report_numerics_verification/2025_colebank_hemodynamics_parameter_identifiability_spectral_surrogates.pdf	report-adjacent	identifiability and surrogate verification context	uncited archive near reproducibility and future uncertainty work
2025_lucca_blood_flow_ffr_prediction	LuccaEtAl2025FFRPrediction	references/04_report_numerics_verification/2025_lucca_blood_flow_ffr_prediction.pdf	report-adjacent	FFR-oriented 1D network numerics	uncited archive near pressure-flow future work
2026_simvascular_platform	SimVascular2026Platform	references/04_report_numerics_verification/2026_simvascular_platform.html	report-adjacent	verification infrastructure citation	uncited archive near resolved-3D and tool context
2026_simvascular_vascular_model_repository	SimVascular2026VascularModelRepository	references/04_report_numerics_verification/2026_simvascular_vascular_model_repository.html	report-adjacent	verification-resource citation	uncited archive near resolved-3D data context
2021_khalid_blood_flow_modeling_review		references/70_report_adjacent_candidates/2021_khalid_blood_flow_modeling_review.pdf	report-adjacent	blood-flow modeling review candidate	needs BibLaTeX entry and relevance review before citation
1998_lagaris_neural_networks_odes_pdes	LagarisEtAl1998NeuralNetworksPDEs	references/80_future_surrogates_and_pinns/1998_lagaris_neural_networks_odes_pdes.pdf	future-work	neural PDE solver background	uncited future-method source
2018_e_yu_deep_ritz_method	EYu2018DeepRitz	references/80_future_surrogates_and_pinns/2018_e_yu_deep_ritz_method.pdf	future-work	Deep Ritz background	uncited future-method source
2019_kharazmi_variational_pinn	KharazmiEtAl2019VPINN	references/80_future_surrogates_and_pinns/2019_kharazmi_variational_pinn.pdf	future-work	VPINN background	uncited future-method source
2019_raissi_physics_informed_neural_networks	RaissiEtAl2019PhysicsInformedNeuralNetworks	references/80_future_surrogates_and_pinns/2019_raissi_physics_informed_neural_networks.pdf	future-work	PINN background	uncited future-method source
2020_jin_generalization_error_deep_learning_smoothness		references/80_future_surrogates_and_pinns/2020_jin_generalization_error_deep_learning_smoothness.pdf	future-work	deep-learning generalization background	needs BibLaTeX entry before citation
2020_lu_dying_relu_initialization		references/80_future_surrogates_and_pinns/2020_lu_dying_relu_initialization.pdf	future-work	neural-network initialization background	needs BibLaTeX entry before citation
2020_raissi_hidden_fluid_mechanics_flow_visualizations	RaissiEtAl2020HiddenFluidMechanics	references/80_future_surrogates_and_pinns/2020_raissi_hidden_fluid_mechanics_flow_visualizations.pdf	future-work	fluid-mechanics PINN background	uncited future-method source
2020_samaniego_energy_pde_ml_computational_mechanics	SamaniegoEtAl2020EnergyPDEML	references/80_future_surrogates_and_pinns/2020_samaniego_energy_pde_ml_computational_mechanics.pdf	future-work	energy-based PDE machine learning background	uncited future-method source
2021_kharazmi_hp_vpinn	KharazmiEtAl2021HpVPINN	references/80_future_surrogates_and_pinns/2021_kharazmi_hp_vpinn.pdf	future-work	hp-VPINN background	uncited future-method source
2021_li_fourier_neural_operator	LiEtAl2021FNO	references/80_future_surrogates_and_pinns/2021_li_fourier_neural_operator.pdf	future-work	FNO background	uncited future-method source
2021_liao_deep_nitsche_method	LiaoMing2021DeepNitsche	references/80_future_surrogates_and_pinns/2021_liao_deep_nitsche_method.pdf	future-work	Deep Nitsche boundary treatment background	uncited future-method source
2021_lu_deep_ritz_generalization	LuEtAl2021DeepRitzGeneralization	references/80_future_surrogates_and_pinns/2021_lu_deep_ritz_generalization.pdf	future-work	Deep Ritz generalization background	uncited future-method source
2021_lu_deeponet_main_preprint	LuEtAl2021DeepONet	references/80_future_surrogates_and_pinns/2021_lu_deeponet_main_preprint.pdf	future-work	DeepONet background	uncited future-method source
2021_lu_deeponet_supplementary	LuEtAl2021DeepONet	references/80_future_surrogates_and_pinns/2021_lu_deeponet_supplementary.pdf	future-work	DeepONet supplementary material	retained alongside main preprint source
2021_lu_deepxde_library		references/80_future_surrogates_and_pinns/2021_lu_deepxde_library.pdf	future-work	DeepXDE software background	needs BibLaTeX entry before citation
2021_wang_pinn_gradient_flow_pathologies	WangEtAl2021PINNGradientPathologies	references/80_future_surrogates_and_pinns/2021_wang_pinn_gradient_flow_pathologies.pdf	future-work	PINN training pathology background	uncited future-method source
2023_amos_amortized_optimization_tutorial	Amos2023AmortizedOptimizationTutorial	references/80_future_surrogates_and_pinns/2023_amos_amortized_optimization_tutorial.pdf	future-work	amortized optimization background	uncited future-method source
2023_minakowski_deep_ritz_error_estimates	MinakowskiRichter2023DeepRitzError	references/80_future_surrogates_and_pinns/2023_minakowski_deep_ritz_error_estimates.pdf	future-work	Deep Ritz error-estimate background	uncited future-method source
2025_csala_physics_constrained_neural_differential_blood_flow	CsalaEtAl2025PCNDE	references/80_future_surrogates_and_pinns/2025_csala_physics_constrained_neural_differential_blood_flow.pdf	future-work	neural differential blood-flow surrogate background	uncited future-method source
2025_minakowski_richter_deep_ritz_erratum	MinakowskiRichter2025Erratum	references/80_future_surrogates_and_pinns/2025_minakowski_richter_deep_ritz_erratum.pdf	future-work	Deep Ritz erratum	retained with related Deep Ritz source
2025_velikorodny_deep_operator_stenosed_vessels	VelikorodnyEtAl2025DeepOperatorStenosed	references/80_future_surrogates_and_pinns/2025_velikorodny_deep_operator_stenosed_vessels.html	future-work	deep-operator stenosed-vessel surrogate background	uncited future-method source
2025_yu_natural_deep_ritz	YuZhang2025NaturalDeepRitz	references/80_future_surrogates_and_pinns/2025_yu_natural_deep_ritz.pdf	future-work	natural Deep Ritz background	uncited future-method source
2026_wu_circulatory_digital_twins		references/90_background_archive/2026_wu_circulatory_digital_twins.pdf	background	circulatory digital-twin background	needs BibLaTeX entry before citation
unknown_grinfeld_tensor_calculus		references/98_needs_review/unknown_grinfeld_tensor_calculus.pdf	needs-review	tensor-calculus background	unknown year; resolve metadata before use
unknown_osher_fedkiw_level_set_methods		references/98_needs_review/unknown_osher_fedkiw_level_set_methods.pdf	needs-review	level-set background	unknown year; resolve metadata before use
unknown_sun_fem_eigenvalue_problems		references/98_needs_review/unknown_sun_fem_eigenvalue_problems.pdf	needs-review	FEM/eigenvalue background	unknown year; resolve metadata before use
unknown_unknown_eps_error_3		references/98_needs_review/unknown_unknown_eps_error_3.pdf	needs-review	unclear source	unknown author and year; resolve metadata before use
unknown_unknown_information_theory_deep_learning		references/98_needs_review/unknown_unknown_information_theory_deep_learning.pdf	needs-review	information-theory deep-learning background	unknown author and year; resolve metadata before use
2003_quarteroni_geometrical_multiscale_blood_flow_duplicate_staging_snapshot		references/99_duplicates_superseded/2003_quarteroni_geometrical_multiscale_blood_flow_duplicate_staging_snapshot.pdf	duplicate-superseded	duplicate staging snapshot	duplicate of the Quarteroni-Veneziani multiscale source retained for provenance
